"prname","date","numdeaths","numtotal","numrecover"
"Ontario","31-01-2020",0,3,NA
"British Columbia","31-01-2020",0,1,NA
"Canada","31-01-2020",0,4,NA
"Ontario","08-02-2020",0,3,NA
"British Columbia","08-02-2020",0,4,NA
"Canada","08-02-2020",0,7,NA
"Ontario","16-02-2020",0,3,NA
"British Columbia","16-02-2020",0,5,NA
"Canada","16-02-2020",0,8,NA
"Ontario","21-02-2020",0,3,NA
"British Columbia","21-02-2020",0,6,NA
"Canada","21-02-2020",0,9,NA
"Ontario","24-02-2020",0,4,NA
"British Columbia","24-02-2020",0,6,NA
"Canada","24-02-2020",0,10,NA
"Ontario","25-02-2020",0,4,NA
"British Columbia","25-02-2020",0,7,NA
"Canada","25-02-2020",0,11,NA
"Ontario","26-02-2020",0,5,NA
"British Columbia","26-02-2020",0,7,NA
"Canada","26-02-2020",0,12,NA
"Ontario","27-02-2020",0,6,NA
"British Columbia","27-02-2020",0,7,NA
"Canada","27-02-2020",0,13,NA
"Ontario","29-02-2020",0,8,NA
"British Columbia","29-02-2020",0,7,NA
"Canada","29-02-2020",0,15,NA
"Ontario","01-03-2020",0,15,NA
"British Columbia","01-03-2020",0,8,NA
"Quebec","01-03-2020",0,1,NA
"Canada","01-03-2020",0,24,NA
"Ontario","03-03-2020",0,20,NA
"British Columbia","03-03-2020",0,12,NA
"Quebec","03-03-2020",0,1,NA
"Canada","03-03-2020",0,33,NA
"Ontario","05-03-2020",0,22,NA
"British Columbia","05-03-2020",0,21,NA
"Quebec","05-03-2020",0,2,NA
"Canada","05-03-2020",0,45,NA
"Ontario","06-03-2020",0,28,NA
"British Columbia","06-03-2020",0,21,NA
"Quebec","06-03-2020",0,2,NA
"Canada","06-03-2020",0,51,NA
"Ontario","07-03-2020",0,28,NA
"British Columbia","07-03-2020",0,27,NA
"Quebec","07-03-2020",0,2,NA
"Canada","07-03-2020",0,57,NA
"Ontario","08-03-2020",0,31,NA
"British Columbia","08-03-2020",1,27,NA
"Quebec","08-03-2020",0,3,NA
"Alberta","08-03-2020",0,1,NA
"Canada","08-03-2020",1,62,NA
"Ontario","09-03-2020",0,34,NA
"British Columbia","09-03-2020",1,32,NA
"Quebec","09-03-2020",0,4,NA
"Alberta","09-03-2020",0,7,NA
"Canada","09-03-2020",1,77,NA
"British Columbia","11-03-2020",1,39,NA
"Alberta","11-03-2020",0,14,NA
"Saskatchewan","11-03-2020",0,0,NA
"Manitoba","11-03-2020",0,0,NA
"Ontario","11-03-2020",1,42,NA
"Quebec","11-03-2020",0,7,NA
"New Brunswick","11-03-2020",0,0,NA
"Newfoundland and Labrador","11-03-2020",0,0,NA
"Nova Scotia","11-03-2020",0,0,NA
"Prince Edward Island","11-03-2020",0,0,NA
"Northwest Territories","11-03-2020",0,0,NA
"Nunavut","11-03-2020",0,0,NA
"Yukon","11-03-2020",0,0,NA
"Repatriated travellers","11-03-2020",0,1,NA
"Canada","11-03-2020",2,103,NA
"British Columbia","12-03-2020",1,46,NA
"Alberta","12-03-2020",0,19,NA
"Saskatchewan","12-03-2020",0,1,NA
"Manitoba","12-03-2020",0,1,NA
"Ontario","12-03-2020",1,59,NA
"Quebec","12-03-2020",0,13,NA
"Newfoundland and Labrador","12-03-2020",0,0,NA
"New Brunswick","12-03-2020",0,1,NA
"Nova Scotia","12-03-2020",0,0,NA
"Prince Edward Island","12-03-2020",0,0,NA
"Yukon","12-03-2020",0,0,NA
"Northwest Territories","12-03-2020",0,0,NA
"Nunavut","12-03-2020",0,0,NA
"Repatriated travellers","12-03-2020",0,1,NA
"Canada","12-03-2020",2,141,NA
"British Columbia","13-03-2020",1,53,NA
"Alberta","13-03-2020",0,23,NA
"Saskatchewan","13-03-2020",0,1,NA
"Manitoba","13-03-2020",0,3,NA
"Ontario","13-03-2020",1,79,NA
"Quebec","13-03-2020",0,17,NA
"Newfoundland and Labrador","13-03-2020",0,0,NA
"New Brunswick","13-03-2020",0,1,NA
"Nova Scotia","13-03-2020",0,0,NA
"Prince Edward Island","13-03-2020",0,0,NA
"Yukon","13-03-2020",0,0,NA
"Northwest Territories","13-03-2020",0,0,NA
"Nunavut","13-03-2020",0,0,NA
"Repatriated travellers","13-03-2020",0,2,NA
"Canada","13-03-2020",2,179,NA
"British Columbia","14-03-2020",1,64,NA
"Alberta","14-03-2020",0,29,NA
"Saskatchewan","14-03-2020",0,2,NA
"Manitoba","14-03-2020",0,4,NA
"Ontario","14-03-2020",1,79,NA
"Quebec","14-03-2020",0,17,NA
"Newfoundland and Labrador","14-03-2020",0,0,NA
"New Brunswick","14-03-2020",0,2,NA
"Nova Scotia","14-03-2020",0,0,NA
"Prince Edward Island","14-03-2020",0,0,NA
"Yukon","14-03-2020",0,0,NA
"Northwest Territories","14-03-2020",0,0,NA
"Nunavut","14-03-2020",0,0,NA
"Repatriated travellers","14-03-2020",0,2,NA
"Canada","14-03-2020",2,199,NA
"British Columbia","15-03-2020",1,73,NA
"Alberta","15-03-2020",0,39,NA
"Saskatchewan","15-03-2020",0,2,NA
"Manitoba","15-03-2020",0,4,NA
"Ontario","15-03-2020",1,103,NA
"Quebec","15-03-2020",0,24,NA
"Newfoundland and Labrador","15-03-2020",0,1,NA
"New Brunswick","15-03-2020",0,2,NA
"Nova Scotia","15-03-2020",0,0,NA
"Prince Edward Island","15-03-2020",0,1,NA
"Yukon","15-03-2020",0,0,NA
"Northwest Territories","15-03-2020",0,0,NA
"Nunavut","15-03-2020",0,0,NA
"Repatriated travellers","15-03-2020",0,4,NA
"Canada","15-03-2020",2,253,NA
"British Columbia","16-03-2020",4,73,NA
"Alberta","16-03-2020",0,56,NA
"Saskatchewan","16-03-2020",0,6,NA
"Manitoba","16-03-2020",0,7,NA
"Ontario","16-03-2020",1,145,NA
"Quebec","16-03-2020",0,39,NA
"Newfoundland and Labrador","16-03-2020",0,1,NA
"New Brunswick","16-03-2020",0,6,NA
"Nova Scotia","16-03-2020",0,3,NA
"Prince Edward Island","16-03-2020",0,1,NA
"Yukon","16-03-2020",0,0,NA
"Northwest Territories","16-03-2020",0,0,NA
"Nunavut","16-03-2020",0,0,NA
"Repatriated travellers","16-03-2020",0,4,NA
"Canada","16-03-2020",5,341,NA
"British Columbia","17-03-2020",7,103,NA
"Alberta","17-03-2020",0,74,NA
"Saskatchewan","17-03-2020",0,7,NA
"Manitoba","17-03-2020",0,7,NA
"Ontario","17-03-2020",1,177,NA
"Quebec","17-03-2020",0,50,NA
"Newfoundland and Labrador","17-03-2020",0,1,NA
"New Brunswick","17-03-2020",0,7,NA
"Nova Scotia","17-03-2020",0,5,NA
"Prince Edward Island","17-03-2020",0,1,NA
"Yukon","17-03-2020",0,0,NA
"Northwest Territories","17-03-2020",0,0,NA
"Nunavut","17-03-2020",0,0,NA
"Repatriated travellers","17-03-2020",0,8,NA
"Canada","17-03-2020",8,440,NA
"British Columbia","18-03-2020",7,186,NA
"Alberta","18-03-2020",0,97,NA
"Saskatchewan","18-03-2020",0,8,NA
"Manitoba","18-03-2020",0,15,NA
"Ontario","18-03-2020",1,189,NA
"Quebec","18-03-2020",1,74,NA
"Newfoundland and Labrador","18-03-2020",0,3,NA
"New Brunswick","18-03-2020",0,8,NA
"Nova Scotia","18-03-2020",0,7,NA
"Prince Edward Island","18-03-2020",0,1,NA
"Yukon","18-03-2020",0,0,NA
"Northwest Territories","18-03-2020",0,0,NA
"Nunavut","18-03-2020",0,0,NA
"Repatriated travellers","18-03-2020",0,9,NA
"Canada","18-03-2020",9,597,NA
"British Columbia","19-03-2020",8,271,NA
"Alberta","19-03-2020",1,146,NA
"Saskatchewan","19-03-2020",0,20,NA
"Manitoba","19-03-2020",0,17,NA
"Ontario","19-03-2020",2,258,NA
"Quebec","19-03-2020",1,121,NA
"Newfoundland and Labrador","19-03-2020",0,3,NA
"New Brunswick","19-03-2020",0,11,NA
"Nova Scotia","19-03-2020",0,14,NA
"Prince Edward Island","19-03-2020",0,2,NA
"Yukon","19-03-2020",0,0,NA
"Northwest Territories","19-03-2020",0,0,NA
"Nunavut","19-03-2020",0,0,NA
"Repatriated travellers","19-03-2020",0,10,NA
"Canada","19-03-2020",12,873,NA
"British Columbia","20-03-2020",9,271,NA
"Alberta","20-03-2020",1,195,NA
"Saskatchewan","20-03-2020",0,26,NA
"Manitoba","20-03-2020",0,17,NA
"Ontario","20-03-2020",2,311,NA
"Quebec","20-03-2020",1,139,NA
"Newfoundland and Labrador","20-03-2020",0,4,NA
"New Brunswick","20-03-2020",0,11,NA
"Nova Scotia","20-03-2020",0,15,NA
"Prince Edward Island","20-03-2020",0,2,NA
"Yukon","20-03-2020",0,0,NA
"Northwest Territories","20-03-2020",0,0,NA
"Nunavut","20-03-2020",0,0,NA
"Repatriated travellers","20-03-2020",0,13,NA
"Canada","20-03-2020",13,1004,NA
"British Columbia","21-03-2020",10,424,NA
"Alberta","21-03-2020",1,226,NA
"Saskatchewan","21-03-2020",0,44,NA
"Manitoba","21-03-2020",0,19,NA
"Ontario","21-03-2020",3,377,NA
"Quebec","21-03-2020",4,221,NA
"Newfoundland and Labrador","21-03-2020",0,6,NA
"New Brunswick","21-03-2020",0,17,NA
"Nova Scotia","21-03-2020",0,21,NA
"Prince Edward Island","21-03-2020",0,2,NA
"Yukon","21-03-2020",0,0,NA
"Northwest Territories","21-03-2020",0,1,NA
"Nunavut","21-03-2020",0,0,NA
"Repatriated travellers","21-03-2020",0,13,NA
"Canada","21-03-2020",18,1371,NA
"British Columbia","22-03-2020",10,424,NA
"Alberta","22-03-2020",1,259,NA
"Saskatchewan","22-03-2020",0,52,NA
"Manitoba","22-03-2020",0,19,NA
"Ontario","22-03-2020",5,425,NA
"Quebec","22-03-2020",4,221,NA
"Newfoundland and Labrador","22-03-2020",0,9,NA
"New Brunswick","22-03-2020",0,17,NA
"Nova Scotia","22-03-2020",0,28,NA
"Prince Edward Island","22-03-2020",0,3,NA
"Yukon","22-03-2020",0,0,NA
"Northwest Territories","22-03-2020",0,1,NA
"Nunavut","22-03-2020",0,0,NA
"Repatriated travellers","22-03-2020",0,13,NA
"Canada","22-03-2020",20,1471,NA
"British Columbia","23-03-2020",13,472,NA
"Alberta","23-03-2020",1,301,NA
"Saskatchewan","23-03-2020",0,66,NA
"Manitoba","23-03-2020",0,20,NA
"Ontario","23-03-2020",6,503,NA
"Quebec","23-03-2020",4,628,NA
"Newfoundland and Labrador","23-03-2020",0,24,NA
"New Brunswick","23-03-2020",0,17,NA
"Nova Scotia","23-03-2020",0,41,NA
"Prince Edward Island","23-03-2020",0,3,NA
"Yukon","23-03-2020",0,2,NA
"Northwest Territories","23-03-2020",0,1,NA
"Nunavut","23-03-2020",0,0,NA
"Repatriated travellers","23-03-2020",0,13,NA
"Canada","23-03-2020",24,2091,NA
"British Columbia","24-03-2020",13,617,NA
"Alberta","24-03-2020",2,358,NA
"Saskatchewan","24-03-2020",0,72,NA
"Manitoba","24-03-2020",0,21,NA
"Ontario","24-03-2020",8,588,NA
"Quebec","24-03-2020",4,1013,NA
"Newfoundland and Labrador","24-03-2020",0,35,NA
"New Brunswick","24-03-2020",0,18,NA
"Nova Scotia","24-03-2020",0,51,NA
"Prince Edward Island","24-03-2020",0,3,NA
"Yukon","24-03-2020",0,2,NA
"Northwest Territories","24-03-2020",0,1,NA
"Nunavut","24-03-2020",0,0,NA
"Repatriated travellers","24-03-2020",0,13,NA
"Canada","24-03-2020",27,2792,NA
"British Columbia","25-03-2020",14,659,NA
"Alberta","25-03-2020",2,419,NA
"Saskatchewan","25-03-2020",0,86,NA
"Manitoba","25-03-2020",0,35,NA
"Ontario","25-03-2020",13,688,NA
"Quebec","25-03-2020",6,1339,NA
"Newfoundland and Labrador","25-03-2020",0,67,NA
"New Brunswick","25-03-2020",0,26,NA
"Nova Scotia","25-03-2020",0,68,NA
"Prince Edward Island","25-03-2020",0,5,NA
"Yukon","25-03-2020",0,3,NA
"Northwest Territories","25-03-2020",0,1,NA
"Nunavut","25-03-2020",0,0,NA
"Repatriated travellers","25-03-2020",0,13,NA
"Canada","25-03-2020",35,3409,NA
"British Columbia","26-03-2020",14,725,186
"Alberta","26-03-2020",2,486,27
"Saskatchewan","26-03-2020",0,95,3
"Manitoba","26-03-2020",0,36,1
"Ontario","26-03-2020",15,858,8
"Quebec","26-03-2020",8,1629,2
"Newfoundland and Labrador","26-03-2020",0,82,NA
"New Brunswick","26-03-2020",0,33,NA
"Nova Scotia","26-03-2020",0,73,2
"Prince Edward Island","26-03-2020",0,9,1
"Yukon","26-03-2020",0,3,NA
"Northwest Territories","26-03-2020",0,1,NA
"Nunavut","26-03-2020",0,0,NA
"Repatriated travellers","26-03-2020",0,13,NA
"Canada","26-03-2020",39,4043,230
"British Columbia","27-03-2020",14,725,186
"Alberta","27-03-2020",2,542,27
"Saskatchewan","27-03-2020",0,104,3
"Manitoba","27-03-2020",1,39,1
"Ontario","27-03-2020",18,993,8
"Quebec","27-03-2020",18,2021,29
"Newfoundland and Labrador","27-03-2020",0,102,NA
"New Brunswick","27-03-2020",0,45,1
"Nova Scotia","27-03-2020",0,90,2
"Prince Edward Island","27-03-2020",0,11,1
"Yukon","27-03-2020",0,3,NA
"Northwest Territories","27-03-2020",0,1,NA
"Nunavut","27-03-2020",0,0,NA
"Repatriated travellers","27-03-2020",0,13,NA
"Canada","27-03-2020",53,4689,256
"British Columbia","28-03-2020",16,884,396
"Alberta","28-03-2020",2,542,53
"Saskatchewan","28-03-2020",0,134,3
"Manitoba","28-03-2020",1,64,1
"Ontario","28-03-2020",18,993,8
"Quebec","28-03-2020",22,2498,29
"Newfoundland and Labrador","28-03-2020",0,120,4
"New Brunswick","28-03-2020",0,51,2
"Nova Scotia","28-03-2020",0,110,4
"Prince Edward Island","28-03-2020",0,11,1
"Yukon","28-03-2020",0,4,NA
"Northwest Territories","28-03-2020",0,1,NA
"Nunavut","28-03-2020",0,0,NA
"Repatriated travellers","28-03-2020",0,13,NA
"Canada","28-03-2020",59,5425,502
"British Columbia","29-03-2020",17,884,396
"Alberta","29-03-2020",2,621,73
"Saskatchewan","29-03-2020",0,134,4
"Manitoba","29-03-2020",1,72,1
"Ontario","29-03-2020",19,1355,8
"Quebec","29-03-2020",22,2840,29
"Newfoundland and Labrador","29-03-2020",0,135,4
"New Brunswick","29-03-2020",0,66,2
"Nova Scotia","29-03-2020",0,122,4
"Prince Edward Island","29-03-2020",0,11,1
"Yukon","29-03-2020",0,4,NA
"Northwest Territories","29-03-2020",0,1,NA
"Nunavut","29-03-2020",0,0,NA
"Repatriated travellers","29-03-2020",0,13,NA
"Canada","29-03-2020",61,6258,522
"British Columbia","30-03-2020",19,960,469
"Alberta","30-03-2020",8,690,94
"Saskatchewan","30-03-2020",2,175,14
"Manitoba","30-03-2020",1,96,2
"Ontario","30-03-2020",33,1706,431
"Quebec","30-03-2020",25,3430,29
"Newfoundland and Labrador","30-03-2020",1,148,7
"New Brunswick","30-03-2020",0,68,2
"Nova Scotia","30-03-2020",0,127,10
"Prince Edward Island","30-03-2020",0,18,1
"Yukon","30-03-2020",0,5,NA
"Northwest Territories","30-03-2020",0,1,NA
"Nunavut","30-03-2020",0,0,NA
"Repatriated travellers","30-03-2020",0,13,9
"Canada","30-03-2020",89,7437,1068
"British Columbia","31-03-2020",19,970,507
"Alberta","31-03-2020",9,754,120
"Saskatchewan","31-03-2020",2,184,21
"Manitoba","31-03-2020",1,103,4
"Ontario","31-03-2020",33,1966,534
"Quebec","31-03-2020",31,4162,29
"Newfoundland and Labrador","31-03-2020",1,152,7
"New Brunswick","31-03-2020",0,70,9
"Nova Scotia","31-03-2020",0,147,10
"Prince Edward Island","31-03-2020",0,21,1
"Yukon","31-03-2020",0,5,NA
"Northwest Territories","31-03-2020",0,1,NA
"Nunavut","31-03-2020",0,0,NA
"Repatriated travellers","31-03-2020",0,13,12
"Canada","31-03-2020",96,8548,1254
"British Columbia","01-04-2020",25,1066,606
"Alberta","01-04-2020",9,754,142
"Saskatchewan","01-04-2020",3,193,30
"Manitoba","01-04-2020",1,127,4
"Ontario","01-04-2020",37,2392,689
"Quebec","01-04-2020",33,4611,29
"Newfoundland and Labrador","01-04-2020",1,175,10
"New Brunswick","01-04-2020",0,81,14
"Nova Scotia","01-04-2020",0,173,11
"Prince Edward Island","01-04-2020",0,21,3
"Yukon","01-04-2020",0,5,3
"Northwest Territories","01-04-2020",0,2,NA
"Nunavut","01-04-2020",0,0,NA
"Repatriated travellers","01-04-2020",0,13,12
"Canada","01-04-2020",109,9613,1553
"British Columbia","02-04-2020",31,1121,641
"Alberta","02-04-2020",13,968,174
"Saskatchewan","02-04-2020",3,206,36
"Manitoba","02-04-2020",1,167,11
"Ontario","02-04-2020",53,2793,831
"Quebec","02-04-2020",36,5518,224
"Newfoundland and Labrador","02-04-2020",1,183,10
"New Brunswick","02-04-2020",0,91,22
"Nova Scotia","02-04-2020",0,193,16
"Prince Edward Island","02-04-2020",0,22,3
"Yukon","02-04-2020",0,6,3
"Northwest Territories","02-04-2020",0,2,NA
"Nunavut","02-04-2020",0,0,NA
"Repatriated travellers","02-04-2020",0,13,12
"Canada","02-04-2020",138,11283,1983
"British Columbia","03-04-2020",35,1174,641
"Alberta","03-04-2020",18,1075,NA
"Saskatchewan","03-04-2020",3,220,NA
"Manitoba","03-04-2020",2,182,NA
"Ontario","03-04-2020",67,3255,NA
"Quebec","03-04-2020",61,6101,NA
"Newfoundland and Labrador","03-04-2020",1,183,NA
"New Brunswick","03-04-2020",0,95,NA
"Nova Scotia","03-04-2020",0,207,NA
"Prince Edward Island","03-04-2020",0,22,NA
"Yukon","03-04-2020",0,6,NA
"Northwest Territories","03-04-2020",0,4,NA
"Nunavut","03-04-2020",0,0,NA
"Repatriated travellers","03-04-2020",0,13,NA
"Canada","03-04-2020",187,12537,NA
"British Columbia","04-04-2020",38,1203,705
"Alberta","04-04-2020",18,1075,NA
"Saskatchewan","04-04-2020",3,231,NA
"Manitoba","04-04-2020",2,194,NA
"Ontario","04-04-2020",94,3630,NA
"Quebec","04-04-2020",75,6997,NA
"Newfoundland and Labrador","04-04-2020",1,195,NA
"New Brunswick","04-04-2020",0,98,NA
"Nova Scotia","04-04-2020",0,236,NA
"Prince Edward Island","04-04-2020",0,22,NA
"Yukon","04-04-2020",0,6,NA
"Northwest Territories","04-04-2020",0,4,NA
"Nunavut","04-04-2020",0,0,NA
"Repatriated travellers","04-04-2020",0,13,NA
"Canada","04-04-2020",231,13904,NA
"British Columbia","05-04-2020",38,1203,704
"Alberta","05-04-2020",23,1250,240
"Saskatchewan","05-04-2020",3,249,55
"Manitoba","05-04-2020",2,203,17
"Ontario","05-04-2020",119,4038,1219
"Quebec","05-04-2020",94,7944,0
"Newfoundland and Labrador","05-04-2020",1,217,11
"New Brunswick","05-04-2020",0,101,28
"Nova Scotia","05-04-2020",0,262,50
"Prince Edward Island","05-04-2020",0,22,6
"Yukon","05-04-2020",0,6,4
"Northwest Territories","05-04-2020",0,4,1
"Nunavut","05-04-2020",0,0,0
"Repatriated travellers","05-04-2020",0,13,12
"Canada","05-04-2020",280,15512,2335
"British Columbia","06-04-2020",39,1266,783
"Alberta","06-04-2020",24,1348,361
"Saskatchewan","06-04-2020",3,253,81
"Manitoba","06-04-2020",2,204,17
"Ontario","06-04-2020",132,4347,1624
"Quebec","06-04-2020",121,8580,611
"Newfoundland and Labrador","06-04-2020",2,226,32
"New Brunswick","06-04-2020",0,103,30
"Nova Scotia","06-04-2020",0,293,64
"Prince Edward Island","06-04-2020",0,22,8
"Yukon","06-04-2020",0,7,4
"Northwest Territories","06-04-2020",0,5,1
"Nunavut","06-04-2020",0,0,0
"Repatriated travellers","06-04-2020",0,13,12
"Canada","06-04-2020",323,16667,3616
"British Columbia","07-04-2020",43,1291,783
"Alberta","07-04-2020",26,1373,NA
"Saskatchewan","07-04-2020",3,260,NA
"Manitoba","07-04-2020",3,217,NA
"Ontario","07-04-2020",153,4726,NA
"Quebec","07-04-2020",150,9340,NA
"Newfoundland and Labrador","07-04-2020",2,228,NA
"New Brunswick","07-04-2020",0,105,NA
"Nova Scotia","07-04-2020",0,310,NA
"Prince Edward Island","07-04-2020",0,22,NA
"Yukon","07-04-2020",0,7,NA
"Northwest Territories","07-04-2020",0,5,NA
"Nunavut","07-04-2020",0,0,NA
"Repatriated travellers","07-04-2020",0,13,NA
"Canada","07-04-2020",380,17897,NA
"British Columbia","08-04-2020",48,1336,838
"Alberta","08-04-2020",29,1423,NA
"Saskatchewan","08-04-2020",3,271,NA
"Manitoba","08-04-2020",3,221,NA
"Ontario","08-04-2020",174,5276,NA
"Quebec","08-04-2020",175,10031,NA
"Newfoundland and Labrador","08-04-2020",2,232,NA
"New Brunswick","08-04-2020",0,108,NA
"Nova Scotia","08-04-2020",1,342,NA
"Prince Edward Island","08-04-2020",0,24,NA
"Yukon","08-04-2020",0,7,NA
"Northwest Territories","08-04-2020",0,5,NA
"Nunavut","08-04-2020",0,0,NA
"Repatriated travellers","08-04-2020",0,13,NA
"Canada","08-04-2020",435,19289,NA
"British Columbia","09-04-2020",50,1370,858
"Alberta","09-04-2020",32,1451,NA
"Saskatchewan","09-04-2020",3,278,NA
"Manitoba","09-04-2020",3,224,NA
"Ontario","09-04-2020",200,5759,NA
"Quebec","09-04-2020",216,10912,NA
"Newfoundland and Labrador","09-04-2020",3,236,NA
"New Brunswick","09-04-2020",0,111,NA
"Nova Scotia","09-04-2020",2,373,NA
"Prince Edward Island","09-04-2020",0,25,NA
"Yukon","09-04-2020",0,8,NA
"Northwest Territories","09-04-2020",0,5,NA
"Nunavut","09-04-2020",0,0,NA
"Repatriated travellers","09-04-2020",0,13,NA
"Canada","09-04-2020",509,20765,NA
"British Columbia","10-04-2020",55,1410,879
"Alberta","10-04-2020",39,1500,NA
"Saskatchewan","10-04-2020",3,285,NA
"Manitoba","10-04-2020",4,230,NA
"Ontario","10-04-2020",222,6237,NA
"Quebec","10-04-2020",241,11677,NA
"Newfoundland and Labrador","10-04-2020",3,239,NA
"New Brunswick","10-04-2020",0,112,NA
"Nova Scotia","10-04-2020",2,407,NA
"Prince Edward Island","10-04-2020",0,25,NA
"Yukon","10-04-2020",0,8,NA
"Northwest Territories","10-04-2020",0,5,NA
"Nunavut","10-04-2020",0,0,NA
"Repatriated travellers","10-04-2020",NA,13,NA
"Canada","10-04-2020",569,22148,NA
"British Columbia","11-04-2020",58,1445,905
"Alberta","11-04-2020",40,1569,NA
"Saskatchewan","11-04-2020",4,289,NA
"Manitoba","11-04-2020",4,243,NA
"Ontario","11-04-2020",253,6648,NA
"Quebec","11-04-2020",289,12292,NA
"Newfoundland and Labrador","11-04-2020",3,241,NA
