"prname","date","numdeaths","numtotal","numrecover"
"New Brunswick","11-04-2020",0,112,NA
"Nova Scotia","11-04-2020",2,428,NA
"Prince Edward Island","11-04-2020",0,25,NA
"Yukon","11-04-2020",0,8,NA
"Northwest Territories","11-04-2020",0,5,NA
"Nunavut","11-04-2020",0,0,NA
"Repatriated travellers","11-04-2020",NA,13,NA
"Canada","11-04-2020",653,23318,NA
"British Columbia","12-04-2020",58,1445,905
"Alberta","12-04-2020",44,1651,NA
"Saskatchewan","12-04-2020",4,298,NA
"Manitoba","12-04-2020",4,242,NA
"Ontario","12-04-2020",274,7049,NA
"Quebec","12-04-2020",328,12846,NA
"Newfoundland and Labrador","12-04-2020",3,242,NA
"New Brunswick","12-04-2020",0,114,NA
"Nova Scotia","12-04-2020",2,445,NA
"Prince Edward Island","12-04-2020",0,25,NA
"Yukon","12-04-2020",0,8,NA
"Northwest Territories","12-04-2020",0,5,NA
"Nunavut","12-04-2020",0,0,NA
"Repatriated travellers","12-04-2020",NA,13,NA
"Canada","12-04-2020",717,24383,NA
"British Columbia","13-04-2020",69,1490,926
"Alberta","13-04-2020",46,1732,NA
"Saskatchewan","13-04-2020",4,300,NA
"Manitoba","13-04-2020",4,246,NA
"Ontario","13-04-2020",291,7470,NA
"Quebec","13-04-2020",360,13557,NA
"Newfoundland and Labrador","13-04-2020",3,244,NA
"New Brunswick","13-04-2020",0,116,NA
"Nova Scotia","13-04-2020",3,474,NA
"Prince Edward Island","13-04-2020",0,25,NA
"Yukon","13-04-2020",0,8,NA
"Northwest Territories","13-04-2020",0,5,NA
"Nunavut","13-04-2020",0,0,NA
"Repatriated travellers","13-04-2020",NA,13,NA
"Canada","13-04-2020",780,25680,NA
"British Columbia","14-04-2020",72,1517,942
"Alberta","14-04-2020",48,1870,NA
"Saskatchewan","14-04-2020",4,301,NA
"Manitoba","14-04-2020",4,246,NA
"Ontario","14-04-2020",334,7953,NA
"Quebec","14-04-2020",435,14248,NA
"Newfoundland and Labrador","14-04-2020",3,244,NA
"New Brunswick","14-04-2020",0,116,NA
"Nova Scotia","14-04-2020",3,517,NA
"Prince Edward Island","14-04-2020",0,25,NA
"Yukon","14-04-2020",0,8,NA
"Northwest Territories","14-04-2020",0,5,NA
"Nunavut","14-04-2020",0,0,NA
"Repatriated travellers","14-04-2020",NA,13,NA
"Canada","14-04-2020",903,27063,NA
"British Columbia","15-04-2020",75,1561,955
"Alberta","15-04-2020",48,1996,NA
"Saskatchewan","15-04-2020",4,304,NA
"Manitoba","15-04-2020",5,246,NA
"Ontario","15-04-2020",385,8447,NA
"Quebec","15-04-2020",487,14860,NA
"Newfoundland and Labrador","15-04-2020",3,247,NA
"New Brunswick","15-04-2020",0,117,NA
"Nova Scotia","15-04-2020",3,549,NA
"Prince Edward Island","15-04-2020",0,26,NA
"Yukon","15-04-2020",0,8,NA
"Northwest Territories","15-04-2020",0,5,NA
"Nunavut","15-04-2020",0,0,NA
"Repatriated travellers","15-04-2020",NA,13,NA
"Canada","15-04-2020",1010,28381,NA
"British Columbia","16-04-2020",75,1561,955
"Alberta","16-04-2020",50,2158,NA
"Saskatchewan","16-04-2020",4,305,NA
"Manitoba","16-04-2020",5,250,NA
"Ontario","16-04-2020",423,8961,NA
"Quebec","16-04-2020",630,15857,NA
"Newfoundland and Labrador","16-04-2020",3,252,NA
"New Brunswick","16-04-2020",0,117,NA
"Nova Scotia","16-04-2020",3,579,NA
"Prince Edward Island","16-04-2020",0,26,NA
"Yukon","16-04-2020",0,8,NA
"Northwest Territories","16-04-2020",0,5,NA
"Nunavut","16-04-2020",0,0,NA
"Repatriated travellers","16-04-2020",NA,13,NA
"Canada","16-04-2020",1193,30092,NA
"British Columbia","17-04-2020",77,1575,955
"Alberta","17-04-2020",50,2397,NA
"Saskatchewan","17-04-2020",4,307,NA
"Manitoba","17-04-2020",5,250,NA
"Ontario","17-04-2020",478,9525,NA
"Quebec","17-04-2020",688,16798,NA
"Newfoundland and Labrador","17-04-2020",3,256,NA
"New Brunswick","17-04-2020",0,117,NA
"Nova Scotia","17-04-2020",4,606,NA
"Prince Edward Island","17-04-2020",0,26,NA
"Yukon","17-04-2020",0,9,NA
"Northwest Territories","17-04-2020",0,5,NA
"Nunavut","17-04-2020",0,0,NA
"Repatriated travellers","17-04-2020",NA,13,NA
"Canada","17-04-2020",1309,31884,NA
"British Columbia","18-04-2020",78,1618,966
"Alberta","18-04-2020",51,2562,1162
"Saskatchewan","18-04-2020",4,313,234
"Manitoba","18-04-2020",5,253,132
"Ontario","18-04-2020",514,10010,4875
"Quebec","18-04-2020",805,17521,3315
"Newfoundland and Labrador","18-04-2020",3,257,189
"New Brunswick","18-04-2020",0,118,87
"Nova Scotia","18-04-2020",7,649,184
"Prince Edward Island","18-04-2020",0,26,23
"Yukon","18-04-2020",0,9,8
"Northwest Territories","18-04-2020",0,5,3
"Nunavut","18-04-2020",0,0,0
"Repatriated travellers","18-04-2020",NA,13,NA
"Canada","18-04-2020",1467,33354,11178
"British Columbia","19-04-2020",78,1618,966
"Alberta","19-04-2020",51,2562,1162
"Saskatchewan","19-04-2020",4,315,234
"Manitoba","19-04-2020",5,253,143
"Ontario","19-04-2020",553,10578,5209
"Quebec","19-04-2020",877,18357,3555
"Newfoundland and Labrador","19-04-2020",3,257,191
"New Brunswick","19-04-2020",0,118,92
"Nova Scotia","19-04-2020",9,675,200
"Prince Edward Island","19-04-2020",0,26,23
"Yukon","19-04-2020",0,9,8
"Northwest Territories","19-04-2020",0,5,3
"Nunavut","19-04-2020",0,0,0
"Repatriated travellers","19-04-2020",NA,13,NA
"Canada","19-04-2020",1580,34786,11786
"British Columbia","20-04-2020",86,1699,1039
"Alberta","20-04-2020",59,2908,1230
"Saskatchewan","20-04-2020",4,316,238
"Manitoba","20-04-2020",6,254,143
"Ontario","20-04-2020",584,11184,5515
"Quebec","20-04-2020",939,19319,3847
"Newfoundland and Labrador","20-04-2020",3,257,191
"New Brunswick","20-04-2020",0,118,98
"Nova Scotia","20-04-2020",9,721,248
"Prince Edward Island","20-04-2020",0,26,23
"Yukon","20-04-2020",0,11,8
"Northwest Territories","20-04-2020",0,5,5
"Nunavut","20-04-2020",0,0,0
"Repatriated travellers","20-04-2020",NA,13,NA
"Canada","20-04-2020",1690,36831,12585
"British Columbia","21-04-2020",87,1724,1041
"Alberta","21-04-2020",61,3095,1273
"Saskatchewan","21-04-2020",4,320,252
"Manitoba","21-04-2020",6,255,150
"Ontario","21-04-2020",622,11735,5806
"Quebec","21-04-2020",1041,20126,4048
"Newfoundland and Labrador","21-04-2020",3,257,194
"New Brunswick","21-04-2020",0,118,102
"Nova Scotia","21-04-2020",10,737,286
"Prince Edward Island","21-04-2020",0,26,23
"Yukon","21-04-2020",0,11,8
"Northwest Territories","21-04-2020",0,5,5
"Nunavut","21-04-2020",0,0,0
"Repatriated travellers","21-04-2020",NA,13,NA
"Canada","21-04-2020",1834,38422,13188
"British Columbia","22-04-2020",90,1795,1079
"Alberta","22-04-2020",66,3401,1310
"Saskatchewan","22-04-2020",4,326,261
"Manitoba","22-04-2020",6,257,154
"Ontario","22-04-2020",659,12245,6221
"Quebec","22-04-2020",1134,20965,4291
"Newfoundland and Labrador","22-04-2020",3,256,199
"New Brunswick","22-04-2020",0,118,104
"Nova Scotia","22-04-2020",12,772,330
"Prince Edward Island","22-04-2020",0,26,24
"Yukon","22-04-2020",0,11,8
"Northwest Territories","22-04-2020",0,5,5
"Nunavut","22-04-2020",0,0,0
"Repatriated travellers","22-04-2020",NA,13,NA
"Canada","22-04-2020",1974,40190,13986
"British Columbia","23-04-2020",94,1824,1092
"Alberta","23-04-2020",67,3720,1357
"Saskatchewan","23-04-2020",4,331,270
"Manitoba","23-04-2020",6,262,174
"Ontario","23-04-2020",713,12879,6680
"Quebec","23-04-2020",1243,21838,4484
"Newfoundland and Labrador","23-04-2020",3,256,205
"New Brunswick","23-04-2020",0,118,104
"Nova Scotia","23-04-2020",16,827,358
"Prince Edward Island","23-04-2020",0,26,24
"Yukon","23-04-2020",0,11,8
"Northwest Territories","23-04-2020",0,5,5
"Nunavut","23-04-2020",0,0,0
"Repatriated travellers","23-04-2020",NA,13,NA
"Canada","23-04-2020",2146,42110,14761
"British Columbia","24-04-2020",98,1853,1114
"Alberta","24-04-2020",72,4017,1397
"Saskatchewan","24-04-2020",4,341,280
"Manitoba","24-04-2020",6,263,196
"Ontario","24-04-2020",763,13519,7087
"Quebec","24-04-2020",1340,22616,4724
"Newfoundland and Labrador","24-04-2020",3,256,207
"New Brunswick","24-04-2020",0,118,107
"Nova Scotia","24-04-2020",16,850,392
"Prince Edward Island","24-04-2020",0,26,24
"Yukon","24-04-2020",0,11,8
"Northwest Territories","24-04-2020",0,5,5
"Nunavut","24-04-2020",0,0,0
"Repatriated travellers","24-04-2020",NA,13,NA
"Canada","24-04-2020",2302,43888,15541
"British Columbia","25-04-2020",100,1948,1137
"Alberta","25-04-2020",73,4233,1471
"Saskatchewan","25-04-2020",4,349,288
"Manitoba","25-04-2020",6,267,199
"Ontario","25-04-2020",811,13995,7509
"Quebec","25-04-2020",1446,23267,5057
"Newfoundland and Labrador","25-04-2020",3,257,208
"New Brunswick","25-04-2020",0,118,107
"Nova Scotia","25-04-2020",22,865,412
"Prince Edward Island","25-04-2020",0,26,24
"Yukon","25-04-2020",0,11,8
"Northwest Territories","25-04-2020",0,5,5
"Nunavut","25-04-2020",0,0,0
"Repatriated travellers","25-04-2020",NA,13,NA
"Canada","25-04-2020",2465,45354,16425
"British Columbia","26-04-2020",100,1948,1137
"Alberta","26-04-2020",73,4480,1549
"Saskatchewan","26-04-2020",4,353,288
"Manitoba","26-04-2020",6,271,199
"Ontario","26-04-2020",835,14432,8000
"Quebec","26-04-2020",1515,24107,5342
"Newfoundland and Labrador","26-04-2020",3,258,219
"New Brunswick","26-04-2020",0,118,111
"Nova Scotia","26-04-2020",24,873,439
"Prince Edward Island","26-04-2020",0,26,24
"Yukon","26-04-2020",0,11,8
"Northwest Territories","26-04-2020",0,5,5
"Nunavut","26-04-2020",0,0,0
"Repatriated travellers","26-04-2020",NA,13,NA
"Canada","26-04-2020",2560,46895,17321
"British Columbia","27-04-2020",103,1998,1190
"Alberta","27-04-2020",75,4696,1664
"Saskatchewan","27-04-2020",5,365,288
"Manitoba","27-04-2020",6,272,205
"Ontario","27-04-2020",892,14856,8525
"Quebec","27-04-2020",1599,24982,5517
"Newfoundland and Labrador","27-04-2020",3,258,221
"New Brunswick","27-04-2020",0,118,112
"Nova Scotia","27-04-2020",24,900,509
"Prince Edward Island","27-04-2020",0,26,24
"Yukon","27-04-2020",0,11,8
"Northwest Territories","27-04-2020",0,5,5
"Nunavut","27-04-2020",0,0,0
"Repatriated travellers","27-04-2020",NA,13,NA
"Canada","27-04-2020",2707,48500,18268
"British Columbia","28-04-2020",105,2053,1231
"Alberta","28-04-2020",80,4850,1800
"Saskatchewan","28-04-2020",5,366,291
"Manitoba","28-04-2020",6,272,209
"Ontario","28-04-2020",951,15381,8964
"Quebec","28-04-2020",1682,25757,5841
"Newfoundland and Labrador","28-04-2020",3,258,222
"New Brunswick","28-04-2020",0,118,114
"Nova Scotia","28-04-2020",27,915,522
"Prince Edward Island","28-04-2020",0,27,24
"Yukon","28-04-2020",0,11,8
"Northwest Territories","28-04-2020",0,5,5
"Nunavut","28-04-2020",0,0,0
"Repatriated travellers","28-04-2020",NA,13,NA
"Canada","28-04-2020",2859,50026,19231
"British Columbia","29-04-2020",109,2087,1305
"Alberta","29-04-2020",87,5165,1953
"Saskatchewan","29-04-2020",6,383,291
"Manitoba","29-04-2020",6,273,213
"Ontario","29-04-2020",996,15728,9612
"Quebec","29-04-2020",1761,26594,6048
"Newfoundland and Labrador","29-04-2020",3,258,225
"New Brunswick","29-04-2020",0,118,114
"Nova Scotia","29-04-2020",28,935,529
"Prince Edward Island","29-04-2020",0,27,24
"Yukon","29-04-2020",0,11,8
"Northwest Territories","29-04-2020",0,5,5
"Nunavut","29-04-2020",0,0,0
"Repatriated travellers","29-04-2020",NA,13,NA
"Canada","29-04-2020",2996,51597,20327
"British Columbia","30-04-2020",111,2112,1322
"Alberta","30-04-2020",89,5355,2161
"Saskatchewan","30-04-2020",6,389,295
"Manitoba","30-04-2020",6,275,220
"Ontario","30-04-2020",1082,16187,10205
"Quebec","30-04-2020",1859,27538,6299
"Newfoundland and Labrador","30-04-2020",3,258,225
"New Brunswick","30-04-2020",0,118,114
"Nova Scotia","30-04-2020",28,947,545
"Prince Edward Island","30-04-2020",0,27,24
"Yukon","30-04-2020",0,11,9
"Northwest Territories","30-04-2020",0,5,5
"Nunavut","30-04-2020",0,0,0
"Repatriated travellers","30-04-2020",NA,13,NA
"Canada","30-04-2020",3184,53236,21424
"British Columbia","01-05-2020",112,2145,1357
"Alberta","01-05-2020",92,5573,2359
"Saskatchewan","01-05-2020",6,415,297
"Manitoba","01-05-2020",6,279,235
"Ontario","01-05-2020",1121,16608,10825
"Quebec","01-05-2020",2022,28648,6700
"Newfoundland and Labrador","01-05-2020",3,259,230
"New Brunswick","01-05-2020",0,118,116
"Nova Scotia","01-05-2020",29,959,592
"Prince Edward Island","01-05-2020",0,27,24
"Yukon","01-05-2020",0,11,11
"Northwest Territories","01-05-2020",0,5,5
"Nunavut","01-05-2020",0,0,0
"Repatriated travellers","01-05-2020",NA,13,NA
"Canada","01-05-2020",3391,55061,22751
"British Columbia","02-05-2020",114,2171,1376
"Alberta","02-05-2020",94,5670,2534
"Saskatchewan","02-05-2020",6,421,302
"Manitoba","02-05-2020",6,280,236
"Ontario","02-05-2020",1176,17119,11390
"Quebec","02-05-2020",2136,29656,6965
"Newfoundland and Labrador","02-05-2020",3,259,231
"New Brunswick","02-05-2020",0,118,118
"Nova Scotia","02-05-2020",31,963,609
"Prince Edward Island","02-05-2020",0,27,24
"Yukon","02-05-2020",0,11,11
"Northwest Territories","02-05-2020",0,5,5
"Nunavut","02-05-2020",0,0,0
"Repatriated travellers","02-05-2020",NA,13,13
"Canada","02-05-2020",3566,56714,23801
"British Columbia","03-05-2020",114,2171,1376
"Alberta","03-05-2020",95,5766,2713
"Saskatchewan","03-05-2020",6,433,305
"Manitoba","03-05-2020",6,281,237
"Ontario","03-05-2020",1216,17553,12005
"Quebec","03-05-2020",2205,31865,7258
"Newfoundland and Labrador","03-05-2020",3,259,232
"New Brunswick","03-05-2020",0,118,118
"Nova Scotia","03-05-2020",37,971,624
"Prince Edward Island","03-05-2020",0,27,24
"Yukon","03-05-2020",0,11,11
"Northwest Territories","03-05-2020",0,5,5
"Nunavut","03-05-2020",0,0,0
"Repatriated travellers","03-05-2020",0,13,13
"Canada","03-05-2020",3682,59474,24908
"British Columbia","04-05-2020",117,2224,1417
"Alberta","04-05-2020",104,5836,2942
"Saskatchewan","04-05-2020",6,467,307
"Manitoba","04-05-2020",6,281,238
"Ontario","04-05-2020",1300,17923,12505
"Quebec","04-05-2020",2280,32623,7578
"Newfoundland and Labrador","04-05-2020",3,259,233
"New Brunswick","04-05-2020",0,118,118
"Nova Scotia","04-05-2020",38,985,638
"Prince Edward Island","04-05-2020",0,27,25
"Yukon","04-05-2020",0,11,11
"Northwest Territories","04-05-2020",0,5,5
"Nunavut","04-05-2020",0,0,0
"Repatriated travellers","04-05-2020",NA,13,NA
"Canada","04-05-2020",3854,60772,26017
"British Columbia","05-05-2020",121,2232,1472
"Alberta","05-05-2020",106,5893,3219
"Saskatchewan","05-05-2020",6,487,310
"Manitoba","05-05-2020",7,282,238
"Ontario","05-05-2020",1361,18310,12779
"Quebec","05-05-2020",2398,33417,7923
"Newfoundland and Labrador","05-05-2020",3,259,241
"New Brunswick","05-05-2020",0,119,118
"Nova Scotia","05-05-2020",41,991,652
"Prince Edward Island","05-05-2020",0,27,25
"Yukon","05-05-2020",0,11,11
"Northwest Territories","05-05-2020",0,5,5
"Nunavut","05-05-2020",0,0,0
"Repatriated travellers","05-05-2020",NA,13,NA
"Canada","05-05-2020",4043,62046,26993
"British Columbia","06-05-2020",124,2255,1494
"Alberta","06-05-2020",112,5963,3552
"Saskatchewan","06-05-2020",6,512,312
"Manitoba","06-05-2020",7,284,242
"Ontario","06-05-2020",1429,18722,13222
"Quebec","06-05-2020",2510,34327,8284
"Newfoundland and Labrador","06-05-2020",3,259,244
"New Brunswick","06-05-2020",0,120,118
"Nova Scotia","06-05-2020",41,998,661
"Prince Edward Island","06-05-2020",0,27,26
"Yukon","06-05-2020",0,11,11
"Northwest Territories","06-05-2020",0,5,5
"Nunavut","06-05-2020",0,0,0
"Repatriated travellers","06-05-2020",NA,13,NA
"Canada","06-05-2020",4232,63496,28171
"British Columbia","07-05-2020",126,2288,1512
"Alberta","07-05-2020",114,6017,3809
"Saskatchewan","07-05-2020",6,531,329
"Manitoba","07-05-2020",7,283,243
"Ontario","07-05-2020",1477,19121,13569
"Quebec","07-05-2020",2631,35238,8673
"Newfoundland and Labrador","07-05-2020",3,261,244
"New Brunswick","07-05-2020",0,120,118
"Nova Scotia","07-05-2020",44,1007,708
"Prince Edward Island","07-05-2020",0,27,26
"Yukon","07-05-2020",0,11,11
"Northwest Territories","07-05-2020",0,5,5
"Nunavut","07-05-2020",0,0,0
"Repatriated travellers","07-05-2020",NA,13,NA
"Canada","07-05-2020",4408,64922,29247
"British Columbia","08-05-2020",127,2315,1579
"Alberta","08-05-2020",115,6098,4020
"Saskatchewan","08-05-2020",6,544,335
"Manitoba","08-05-2020",7,284,247
"Ontario","08-05-2020",1540,19598,13990
"Quebec","08-05-2020",2725,36150,8928
"Newfoundland and Labrador","08-05-2020",3,261,244
"New Brunswick","08-05-2020",0,120,118
"Nova Scotia","08-05-2020",46,1008,722
"Prince Edward Island","08-05-2020",0,27,27
"Yukon","08-05-2020",0,11,11
"Northwest Territories","08-05-2020",0,5,5
"Nunavut","08-05-2020",0,0,0
"Repatriated travellers","08-05-2020",NA,13,NA
"Canada","08-05-2020",4569,66434,30226
"British Columbia","09-05-2020",129,2330,1659
"Alberta","09-05-2020",116,6157,4204
"Saskatchewan","09-05-2020",6,553,340
"Manitoba","09-05-2020",7,284,247
"Ontario","09-05-2020",1599,19944,14383
"Quebec","09-05-2020",2786,36986,9268
"Newfoundland and Labrador","09-05-2020",3,261,244
"New Brunswick","09-05-2020",0,120,118
"Nova Scotia","09-05-2020",47,1011,743
"Prince Edward Island","09-05-2020",0,27,27
"Yukon","09-05-2020",0,11,11
"Northwest Territories","09-05-2020",0,5,5
"Nunavut","09-05-2020",0,0,0
"Repatriated travellers","09-05-2020",NA,13,NA
"Canada","09-05-2020",4693,67702,31249
"British Columbia","10-05-2020",129,2330,1659
"Alberta","10-05-2020",117,6253,4389
"Saskatchewan","10-05-2020",6,564,349
"Manitoba","10-05-2020",7,287,247
"Ontario","10-05-2020",1634,20238,14772
"Quebec","10-05-2020",2928,37721,9526
"Newfoundland and Labrador","10-05-2020",3,261,244
"New Brunswick","10-05-2020",0,120,118
"Nova Scotia","10-05-2020",47,1018,749
"Prince Edward Island","10-05-2020",0,27,27
"Yukon","10-05-2020",0,11,11
"Northwest Territories","10-05-2020",0,5,5
"Nunavut","10-05-2020",0,0,0
"Repatriated travellers","10-05-2020",NA,13,NA
"Canada","10-05-2020",4871,68848,32096
"British Columbia","11-05-2020",130,2353,1719
"Alberta","11-05-2020",117,6300,4659
"Saskatchewan","11-05-2020",6,568,363
"Manitoba","11-05-2020",7,289,247
"Ontario","11-05-2020",1669,20546,15131
"Quebec","11-05-2020",3013,38469,9703
"Newfoundland and Labrador","11-05-2020",3,261,244
"New Brunswick","11-05-2020",0,120,118
"Nova Scotia","11-05-2020",48,1019,767
"Prince Edward Island","11-05-2020",0,27,27
"Yukon","11-05-2020",0,11,11
"Northwest Territories","11-05-2020",0,5,5
"Nunavut","11-05-2020",0,0,0
"Repatriated travellers","11-05-2020",NA,13,NA
"Canada","11-05-2020",4993,69981,32994
"British Columbia","12-05-2020",131,2360,1832
"Alberta","12-05-2020",118,6345,4866
"Saskatchewan","12-05-2020",6,573,374
"Manitoba","12-05-2020",7,290,251
"Ontario","12-05-2020",1725,20907,15391
"Quebec","12-05-2020",3131,39225,10056
"Newfoundland and Labrador","12-05-2020",3,261,247
"New Brunswick","12-05-2020",0,120,118
"Nova Scotia","12-05-2020",48,1020,864
"Prince Edward Island","12-05-2020",0,27,27
"Yukon","12-05-2020",0,11,11
"Northwest Territories","12-05-2020",0,5,5
"Nunavut","12-05-2020",0,0,0
"Repatriated travellers","12-05-2020",NA,13,NA
"Canada","12-05-2020",5169,71157,34042
"British Columbia","13-05-2020",132,2376,1859
"Alberta","13-05-2020",120,6407,5076
"Saskatchewan","13-05-2020",6,577,385
"Manitoba","13-05-2020",7,290,251
"Ontario","13-05-2020",1765,21236,15845
"Quebec","13-05-2020",3220,39931,10470
"Newfoundland and Labrador","13-05-2020",3,261,247
"New Brunswick","13-05-2020",0,120,118
"Nova Scotia","13-05-2020",51,1024,870
"Prince Edward Island","13-05-2020",0,27,27
"Yukon","13-05-2020",0,11,11
"Northwest Territories","13-05-2020",0,5,5
"Nunavut","13-05-2020",0,0,0
"Repatriated travellers","13-05-2020",NA,13,NA
"Canada","13-05-2020",5304,72278,35164
"British Columbia","14-05-2020",135,2392,1885
"Alberta","14-05-2020",121,6457,5205
"Saskatchewan","14-05-2020",6,582,398
"Manitoba","14-05-2020",7,289,252
"Ontario","14-05-2020",1798,21581,16204
"Quebec","14-05-2020",3351,40724,10829
"Newfoundland and Labrador","14-05-2020",3,261,248
